Site ID,Colony ID,Site_Type,Keystone_ID,Prosoma (mm),Mass (g),Keystone Boldness,Avg Attackers,Survived,Young,Prey Carcasses,Ant Attack,Ant Binary,Fungus Infection,Fungus Binary
Boegoeberg,BOE1_5,Arid,68,1.39,0.012,429,5.333333333,0,0,4,No,0,No,0
Boegoeberg,BOE3_16,Arid,719XY,1.44,0.013,370,4.333333333,0,0,7,No,0,No,0
Boegoeberg,BOE1_1,Arid,248X,1.39,0.013,365,2.666666667,0,0,5,No,0,No,0
Boegoeberg,BOE2_12,Arid,664XY,1.71,0.02,276,2.333333333,0,0,2,No,0,No,0
Boegoeberg,BOE2_6,Arid,44,1.3,0.006,116,2.333333,0,0,2,No,0,No,0
Boegoeberg,BOE2_11,Arid,151Q,1.2,0.019,456,5.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE4_21,Arid,971XY,1.09,0.014,440,5.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE4_22,Arid,92C,1.58,0.015,352,3.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE4_23,Arid,72X,1.37,0.011,322,3.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE2_8,Arid,444XY,1.61,0.019,301,2.666666667,0,0,0,Yes,1,No,0
Boegoeberg,BOE4_18,Arid,301XY,1.17,0.009,148,2,0,0,0,Yes,1,No,0
Boegoeberg,BOE3_14,Arid,31C,1.08,0.006,584,4,1,0,2,No,0,No,0
Boegoeberg,BOE2_9,Arid,320XY,1.2,0.009,554,7,1,1,7,No,0,No,0
Boegoeberg,BOE1_3,Arid,188X,1.54,0.012,453,7,1,0,2,No,0,No,0
Boegoeberg,BOE2_7,Arid,383XX,1.96,0.02,449,8,1,1,7,No,0,No,0
Boegoeberg,BOE1_4,Arid,93Q,1.56,0.007,383,7.333333333,1,0,8,No,0,No,0
Boegoeberg,BOE2_10,Arid,782XY,1.63,0.014,379,6.666666667,1,1,7,No,0,No,0
Boegoeberg,BOE5_25,Arid,106X,1.37,0.007,379,6.666667,1,0,4,No,0,No,0
Boegoeberg,BOE5_26,Arid,447XX,0.95,0.004,373,6,1,0,4,No,0,No,0
Boegoeberg,BOE2_13,Arid,710XX,1.86,0.016,318,4.666666667,1,0,3,No,0,No,0
Boegoeberg,BOE5_24,Arid,337XY,1.13,0.009,301,6,1,0,8,No,0,No,0
Boegoeberg,BOE6_27,Arid,253X,1.47,0.012,162,4.666666667,1,0,2,No,0,No,0
Boegoeberg,BOE4_20,Arid,880XY,1.17,0.012,155,1.666666667,1,0,2,No,0,No,0
Boegoeberg,BOE6_28,Arid,40B,1.57,0.01,419,8,1,0,0,Yes,1,No,0
Boegoeberg,BOE1_2,Arid,80P,1.44,0.009,330,4.666666667,1,0,0,Yes,1,No,0
Boegoeberg,BOE3_15,Arid,586XY,1.31,0.008,278,5.333333333,1,1,0,Yes,1,No,0
Boegoeberg,BOE4_19,Arid,24P,1.21,0.006,275,3.666666667,1,0,0,Yes,1,No,0
