ID,date,Site,context,perch,bodytemp.C,perch.temp.C,ambient.temp.C,humidity.percent,perch.height.cm,perch.diam.cm,weight.g,head.height.mm,svl.mm,local.time.decimal,flags,JL,JW,METC,RAD,ULN,HUM,FEM,TIB,FIB,METT1,METT2,FL,HL
KMW_001,2012_06_12,San Juan,natural,tree,29.2,27,31,69.4,85,9,9.5,9.4,71,8.5,,19.44058159,12.81764127,3.961075695,9.954854767,10.62129507,13.06928725,17.2188609,14.92434894,15.03734962,5.306941173,8.741480734,27.65165802,46.19163174
KMW_002,2012_06_12,San Juan,natural,tree,31.3,28,32.2,68.7,40,16.6,8.5,10.2,67,8.5,,17.74677122,11.7501207,3.906412446,9.228174929,10.54328656,13.18334092,18.39340472,15.18005621,15.16271917,5.335568609,9.270338891,27.63303993,48.17936843
KMW_003,2012_06_12,San Juan,natural,tree,31.2,28,32.7,66.8,16,2,11.3,11.2,70,8.5,,18.07892412,13.19397676,3.81418697,9.443397157,10.61409835,13.71536754,17.82822677,14.62160414,14.48597082,5.576316149,9.077659723,28.14365286,47.10380678
KMW_004,2012_06_12,San Juan,natural,tree,31.1,28,33.1,63.4,144,6.1,8.3,9.2,66,8.5,,17.02411332,12.06657053,3.895911694,8.70083895,9.459501541,11.79297814,16.43711599,13.49143553,13.37476215,5.06278132,8.16646351,25.14839138,43.15779635
KMW_005,2012_06_12,San Juan,natural,tree,30.9,27,33.2,66.3,114,17.3,7,9.3,65,8.5,,17.03121731,11.519872,3.33942683,9.525639817,10.73455406,12.9896704,17.18649239,14.85538804,14.62816771,5.629702913,9.069399028,27.06365128,46.74098237
KMW_006,2012_06_12,San Juan,natural,tree,30.2,27,32.9,69.7,39,10.4,6.9,10.5,67,9,,18.04831902,11.48975218,3.529997374,9.061132611,10.35166337,12.27998196,17.03451129,14.69253207,14.34624199,5.86656419,8.381609113,26.1616427,45.97521665
KMW_007,2012_06_12,San Juan,natural,tree,30.4,NA,33,70.1,NA,NA,7.7,9.8,75,9,,20.49522242,12.624293,4.444300315,10.25285454,11.34247437,14.03571917,18.27107276,16.09545608,15.89212322,5.796258982,9.481659473,29.82249386,49.64444729
KMW_008,2012_06_12,San Juan,natural,tree,30.6,26,33.1,67.3,112,25.2,8.8,9.4,69,9,,18.20469776,11.62517628,3.818858833,9.274944696,10.55629712,12.65672908,16.52336909,14.49832661,14.14184219,5.477468361,8.673460179,27.03188503,45.17262424
KMW_009,2012_06_12,San Juan,natural,tree,31.1,27,33.2,66,0,wall,6.9,9.5,62,9,ground,16.61913671,10.64230335,3.439346338,8.937274189,10.14799632,12.25785829,16.68500228,14.19778686,14.16125709,5.122359156,8.437998528,25.84520095,44.44314682
KMW_010,2012_06_12,San Juan,natural,tree,33.1,28,34.8,60.2,70,9.7,8.1,9.3,68,9,,17.64997714,11.86945243,3.50029766,9.013417062,10.02884812,12.57028404,17.10005678,14.20747247,14.07731723,5.22152239,8.929427084,26.09942982,45.45847873
KMW_011,2012_06_12,San Juan,natural,tree,31.7,27,34.3,61.1,68,20.4,4,7.3,51,9.5,,13.74987,8.696181348,2.667047688,6.46382545,7.430775874,10.04863603,12.9854012,11.15173469,11.09585135,4.12000237,6.892795991,20.14645959,35.14993425
KMW_012,2012_06_12,San Juan,natural,tree,31.3,27,34.3,62.8,128,2.1,10.8,11.3,69,9.5,,18.2542946,12.86390982,3.560460331,9.846329758,10.95574437,13.49576932,17.95350873,15.83568796,15.62170772,6.183793324,8.986659734,28.01197402,48.95964975
